09608,宋都服务,-10,-36,12.5,10,2021-01-18,物业管理及代理,主板,2929.23,24.24,0.25,0.21,0.29,有,信达国际融资有限公司,千里硕证券有限公司、信达国际融资有限公司、建银国际金融有限公司、恒宇证券有限公司、高诚证券有限公司、TUS Corporate Finance Limited、中国银河国际证券（香港）有限公司、Conrad Investment Services Limited、德林证券（香港）有限公司、利弗莫尔证券有限公司、盈立证券有限公司,https://hkex.jesselivermore.com/listedco/listconews/sehk/2020/1231/2020123100098_c.pdf
02159,麦迪卫康,33.33,26.33,15,225,2021-01-19,医疗器械及服务,主板,3232.25,167.75,3,3.00,4.00,有,光银国际资本有限公司,光银国际资本有限公司、雅利多证券有限公司、交银国际证券有限公司、民银证券有限公司、瑞邦证券有限公司、浦银国际融资有限公司、华德国际证券有限公司,https://hkex.jesselivermore.com/listedco/listconews/sehk/2020/1231/2020123100138_c.pdf
06668,星盛商业,13.99,3.63,1.29,100,2021-01-26,物业管理及代理,主板,3919.09,755.85,3.86,3.20,3.88,有,中信建投（国际）融资有限公司、建银国际金融有限公司,建银国际金融有限公司、中信建投（国际）融资有限公司、申万宏源证券（香港）有限公司、农银国际证券有限公司、兴证国际融资有限公司、大华继显（香港）有限公司、香江证券有限公司、富途证券国际（香港）有限公司、尚乘环球市场有限公司,https://hkex.jesselivermore.com/listedco/listconews/sehk/2021/0114/2021011400004_c.pdf
02160,心通医疗-B,76.23,54.26,7.5,400,2021-02-04,医疗器械及服务,主板,12322.94,768,12.2,11.10,12.20,有,J.P. Morgan Securities (Far East) Limited、花旗环球金融亚洲有限公司、中国国际金融香港证券有限公司,中国国际金融香港证券有限公司、花旗环球金融亚洲有限公司、J.P. Morgan Securities (Asia Pacific) Limited,https://hkex.jesselivermore.com/listedco/listconews/sehk/2021/0126/2021012600016_c.pdf
01024,快手-W,193.91,160.87,4,500,2021-02-05,电子商贸及互联网服务,主板,11615.89,1203.16,115,105.00,115.00,有,摩根士丹利亚洲有限公司、Merrill Lynch Far East Limited、华兴证券（香港）有限公司,香港上海汇丰银行有限公司、招银国际融资有限公司、富途证券国际（香港）有限公司、中银国际亚洲有限公司、摩根士丹利亚洲有限公司、海通国际证券有限公司、工银国际证券有限公司、华兴证券（香港）有限公司、Merrill Lynch (Asia Pacific) Limited,https://hkex.jesselivermore.com/listedco/listconews/sehk/2021/0126/2021012600014_c.pdf
02161,健倍苗苗,23.33,80,8,100,2021-02-05,保健品,主板,2424.18,21.47,1.2,1.20,1.20,有,中国银河国际证券（香港）有限公司,中国银河国际证券（香港）有限公司、信达国际融资有限公司、艾德证券期货有限公司、复星恒利证券有限公司、香江证券有限公司、迈时资本有限公司、西证（香港）证券经纪有限公司、TUS Corporate Finance Limited,https://hkex.jesselivermore.com/listedco/listconews/sehk/2021/0126/2021012600167_c.pdf
02170,贝康医疗-B,9.65,1.24,10,200,2021-02-08,生物科技,主板,13817.85,401.8,27.36,26.36,27.36,有,中信里昂证券资本市场有限公司,中信里昂证券有限公司、花旗环球金融亚洲有限公司、中国国际金融香港证券有限公司、海通国际证券有限公司、招银国际融资有限公司、工银国际证券有限公司、浦银国际融资有限公司、富途证券国际（香港）有限公司,https://hkex.jesselivermore.com/listedco/listconews/sehk/2021/0127/2021012700022_c.pdf
06606,诺辉健康-B,185.07,215.08,2,4000,2021-02-18,医疗器械及服务,主板,13464.33,4132.19,26.66,22.70,26.66,有,UBS Securities Hong Kong Limited、高盛（亚洲）有限责任公司,UBS AG Hong Kong Branch、兴证国际融资有限公司、富途证券国际（香港）有限公司、中银国际亚洲有限公司、大和资本市场香港有限公司、海通国际证券有限公司、鼎珮证券有限公司、高盛（亚洲）有限责任公司,https://hkex.jesselivermore.com/listedco/listconews/sehk/2021/0205/2021020500018_c.pdf
01473,环联连讯,19.64,26.79,15,75,2021-02-19,电讯及网络器材,主板,2343.38,63.15,0.56,0.52,0.58,有,竤信国际有限公司,民银证券有限公司、富荣证券集团有限公司、力高证券有限公司、高诚证券有限公司、港利资本有限公司、进升证券有限公司、胜利证券有限公司,https://hkex.jesselivermore.com/listedco/listconews/sehk/2021/0129/2021012901778_c.pdf
06127,昭衍新药,-1.99,-8.61,5,60,2021-02-26,生物科技,主板,15252.17,309,151,133.00,151.00,有,中信里昂证券资本市场有限公司,工银国际证券有限公司、交银国际证券有限公司、招银国际融资有限公司、中银国际亚洲有限公司、海通国际证券有限公司、招商证券（香港）有限公司、中信里昂证券有限公司、Merrill Lynch (Asia Pacific) Limited、中国国际金融香港证券有限公司,https://hkex.jesselivermore.com/listedco/listconews/sehk/2021/0216/2021021600010_c.pdf
06600,赛生药业,-1.6,0,3,140,2021-03-03,生物科技,主板,9494.72,1067.05,18.8,17.20,18.80,有,摩根士丹利亚洲有限公司、中国国际金融香港证券有限公司、瑞士信贷（香港）有限公司,摩根士丹利亚洲有限公司、中国国际金融香港证券有限公司、瑞士信贷（香港）有限公司、野村国际（香港）有限公司、中银国际亚洲有限公司、农银国际证券有限公司、中泰国际证券有限公司,https://hkex.jesselivermore.com/listedco/listconews/sehk/2021/0219/2021021900088_c.pdf
06601,朝云集团,-14.24,-13.15,50,30,2021-03-10,其他支援服务,主板,4646.35,171.32,9.2,7.80,9.20,有,摩根士丹利亚洲有限公司、中国国际金融香港证券有限公司,摩根士丹利亚洲有限公司、中国国际金融香港证券有限公司、富途证券国际（香港）有限公司,https://hkex.jesselivermore.com/listedco/listconews/sehk/2021/0226/2021022600034_c.pdf
01413,广联工程控股,-5.56,-22.22,4.7,25,2021-03-11,建筑及装修,主板,2727.21,53.29,0.54,0.50,0.54,有,均富融资有限公司,恒宇证券有限公司、民银证券有限公司、创升证券有限公司、国信证券（香港）融资有限公司、浦银国际融资有限公司、民众证券有限公司、伟禄亚太证券有限公司、胜利证券有限公司、德林证券（香港）有限公司、盈立证券有限公司、港利资本有限公司、贝德斯证券有限公司,https://hkex.jesselivermore.com/listedco/listconews/sehk/2021/0226/2021022600014_c.pdf
02518,汽车之家-S,2.67,2.1,35,100,2021-03-15,电子商贸及互联网服务,主板,25433.74,9.71,176.3,251.8,251.8,有,中国国际金融香港证券有限公司、高盛（亚洲）有限责任公司、瑞士信贷（香港）有限公司,中国国际金融香港证券有限公司、高盛（亚洲）有限责任公司、瑞士信贷（香港）有限公司、香港上海汇丰银行有限公司、德意志银行香港分行、海通国际证券有限公司、平证证券（香港）有限公司、农银国际证券有限公司,https://hkex.jesselivermore.com/listedco/listconews/sehk/2021/0304/2021030400014_c.pdf
01927,久久王,-8,-26.67,9,600,2021-03-16,包装食品,主板,3787.79,213.36,0.75,0.65,0.75,有,力高企业融资有限公司,力高证券有限公司、中国海通证券有限公司、利高证券有限公司、果树证券有限公司、伟禄亚太证券有限公司、新城晋峰证券有限公司、麒麟证券有限公司、亿声证券有限公司、名泰富证券有限公司、华业证券有限公司、雅利多证券有限公司、禹洲金融控股（香港）有限公司、First Fidelity Capital（International）Limited,https://hkex.jesselivermore.com/listedco/listconews/sehk/2021/0226/2021022600022_c.pdf
09888,百度集团-SW,0.79,0,15,50,2021-03-23,电子商贸及互联网服务,主板,14898.64,111.01,252,295,295,有,高盛（亚洲）有限责任公司、中信里昂证券资本市场有限公司、Merrill Lynch (Asia Pacific) Limited,UBS AG Hong Kong Branch、花旗环球金融亚洲有限公司、建银国际金融有限公司、海通国际证券有限公司、华兴证券（香港）有限公司、中银国际亚洲有限公司、工银国际证券有限公司、野村国际（香港）有限公司、中信里昂证券有限公司、Merrill Lynch (Asia Pacific) Limited、高盛（亚洲）有限责任公司、农银国际证券有限公司、富途证券国际（香港）有限公司、中国国际金融香港证券有限公司,https://hkex.jesselivermore.com/listedco/listconews/sehk/2021/0312/2021031200022_c.pdf
02187,智欣集团控股,-3.33,-29.33,10,45,2021-03-26,建筑材料,主板,12120.92,24.24,1.5,1.50,1.50,无,汇富融资有限公司,汇富金融服务有限公司、新城晋峰证券有限公司、中泰国际证券有限公司、海通国际证券有限公司、浦银国际融资有限公司、中募金融资管有限公司,https://hkex.jesselivermore.com/listedco/listconews/sehk/2021/0316/2021031600112_c.pdf
09626,哔哩哔哩-SW,-2.23,-0.99,10,25,2021-03-29,电子商贸及互联网服务,主板,19959.12,173.19,808,988,988,有,J.P. Morgan Securities (Far East) Limited、UBS Securities Hong Kong Limited、高盛（亚洲）有限责任公司、摩根士丹利亚洲有限公司,UBS AG Hong Kong Branch、招银国际融资有限公司、建银国际金融有限公司、国泰君安证券（香港）有限公司、富途证券国际（香港）有限公司、摩根士丹利亚洲有限公司、海通国际证券有限公司、中信里昂证券有限公司、威灵顿金融有限公司、瑞士信贷（香港）有限公司、Merrill Lynch (Asia Pacific) Limited、高盛（亚洲）有限责任公司、J.P. Morgan Securities (Asia Pacific) Limited、中国国际金融香港证券有限公司,https://hkex.jesselivermore.com/listedco/listconews/sehk/2021/0318/2021031800174_c.pdf
02195,盈汇企业控股,-28.57,-41.07,30,9,2021-03-31,建筑及装修,主板,2828.22,20.65,0.56,0.50,0.56,有,均富融资有限公司,中佳证券有限公司、名泰富证券有限公司、佳富达证券有限公司、域高融资有限公司、潮商证券有限公司、结好证券有限公司、联合证券有限公司,https://hkex.jesselivermore.com/listedco/listconews/sehk/2021/0319/2021031900032_c.pdf
06608,百融云-W,-7.39,-16.04,10,30,2021-03-31,系统开发及信息科技顾问,主板,16060.23,149.67,31.8,26.50,31.80,有,摩根士丹利亚洲有限公司、中国国际金融香港证券有限公司、民银资本有限公司,摩根士丹利亚洲有限公司、中国国际金融香港证券有限公司、民银证券有限公司、工银国际证券有限公司、海通国际证券有限公司、招银国际融资有限公司、大和资本市场香港有限公司、富途证券国际（香港）有限公司、软库中华金融服务有限公司,https://hkex.jesselivermore.com/listedco/listconews/sehk/2021/0319/2021031900022_c.pdf
06939,美佳音控股,10.32,6.35,40,30,2021-03-31,工业用品,主板,2727.21,21.43,1.26,1.15,1.35,有,民银资本有限公司,利弗莫尔证券有限公司、民银证券有限公司、圆通环球证券有限公司、建银国际金融有限公司、海通国际证券有限公司、交银国际证券有限公司、东兴证券（香港）有限公司、睿智金融国际有限公司、宝新证券有限公司、中天证券有限公司、富昌证券有限公司、宏汇证券有限公司、长雄证券有限公司、意博资本亚洲有限公司、力高证券有限公司,https://hkex.jesselivermore.com/listedco/listconews/sehk/2021/0318/2021031800014_c.pdf
09959,联易融科技-W,9.9,9.9,20,20,2021-04-09,系统开发及信息科技顾问,主板,8790,97.46,17.58,16.28,18.28,有,高盛（亚洲）有限责任公司、中国国际金融香港证券有限公司,高盛（亚洲）有限责任公司、中国国际金融香港证券有限公司、花旗环球金融亚洲有限公司、华兴证券（香港）有限公司、中信里昂证券有限公司、富途证券国际（香港）有限公司、华金证券（国际）有限公司、招商证券（香港）有限公司、建银国际金融有限公司、华盛资本证券有限公司,https://hkex.jesselivermore.com/listedco/listconews/sehk/2021/0326/2021032600038_c.pdf
