09936,"2,500","867,000,000","75,000,000","22,500,000",0
02263,"10,000","600,000,000","250,000,000","125,000,000",0
01941,"2,000","632,000,000","100,000,000","50,000,000",0
00589,"2,000","1,031,250,000","156,250,000","62,500,000",0
01961,"2,000","982,800,000","126,000,000","37,800,000",0
09969,"1,000","11,201,974,253","250,324,000","125,162,000",0
06918,"2,000","764,400,000","88,400,000","26,520,000",0
01472,"5,000","630,000,000","250,000,000","25,000,000",0
06063,"8,000","580,000,000","500,000,000","50,000,000",0
03390,"2,000","1,216,000,000","192,420,000","19,242,000",0
01950,"4,000","600,000,000","250,000,000","25,000,000",0
09926,"1,000","12,347,494,788","159,495,000","79,748,000",0
01942,"2,000","600,000,000","125,000,000","37,500,000",0
01376,"8,000","650,000,000","250,000,000","25,000,000",0
01463,"4,000","584,000,000","200,000,000","20,000,000",0
01147,"10,000","500,000,000","500,000,000","250,000,000",0
01936,"2,000","600,000,000","125,000,000","12,500,000",0
01953,"5,000","579,600,000","315,000,000","63,000,000",0
09996,"1,000","9,370,245,120","152,511,000","76,256,000",0
08616,"10,000","280,000,000","250,000,000","50,000,000",0
08620,"5,000","278,400,000","120,000,000","60,000,000",0
09923,400,"6,902,316,462","98,724,000","49,362,400",0
09939,500,"7,443,200,440","92,347,500","46,174,000",0
09999,100,"432,103,827,456","171,480,000","20,580,000",0
08496,"2,500","264,000,000","60,000,000","12,000,000",0
09958,"1,000","1,152,000,000","75,000,000","7,500,000",0
09983,"1,000","8,640,000,000","300,000,000","150,000,000",0
02381,"10,000","500,000,000","500,000,000","150,000,000",1
06078,200,"11,100,000,000","120,000,000","60,000,000 ",0
09997,500,"17,380,640,100","225,397,500","112,700,000",0
01650,"8,000","600,000,000","500,000,000","100,000,000",0
09989,500,"4,533,946,700","220,094,500","88,038,000",0
01645,"4,000","696,000,000","116,000,000","58,000,000",0
01957,"2,500","552,640,000","157,000,000","47,100,000",0
01163,"2,500","622,500,000","172,500,000","15,000,000 ",0
01502,"1,000","680,400,000","90,000,000","45,000,000",0
01477,500,"8,666,114,159","121,819,500","52,965,000 ",0
09618,50,"729,327,558,124","133,000,000","15,960,000",0
06958,"1,000","4,700,000,000","250,000,000","125,000,000",0
06978,"1,000","5,660,424,000","114,584,000","50,000,000 ",0
06969,"1,000","72,287,842,528","660,504,000","212,512,000 ",0
